# ph	Lobs	err	L+BB	err	

58557.31	9.85e+40	5.39e+40	4.32e+41	3.91e+41
58559.70	1.01e+41	5.59e+40	4.36e+41	3.88e+41
58562.67	1.03e+41	5.84e+40	4.42e+41	3.88e+41
58567.63	1.04e+41	6.20e+40	4.45e+41	3.65e+41
58569.27	1.04e+41	6.31e+40	4.43e+41	3.55e+41
58569.28	1.04e+41	6.29e+40	4.40e+41	3.48e+41
58569.30	1.04e+41	6.29e+40	4.40e+41	3.48e+41
58569.31	1.04e+41	6.29e+40	4.40e+41	3.48e+41
58571.24	1.03e+41	6.37e+40	4.34e+41	3.35e+41
58571.26	1.03e+41	6.37e+40	4.34e+41	3.35e+41
58571.26	1.03e+41	6.37e+40	4.34e+41	3.35e+41
58571.29	1.03e+41	6.37e+40	4.34e+41	3.35e+41
58573.24	1.03e+41	6.48e+40	4.27e+41	3.14e+41
58573.26	1.03e+41	6.48e+40	4.27e+41	3.14e+41
58573.27	1.03e+41	6.48e+40	4.27e+41	3.14e+41
58573.27	1.03e+41	6.48e+40	4.27e+41	3.14e+41
58577.24	1.01e+41	6.62e+40	4.12e+41	2.93e+41
58577.24	1.01e+41	6.62e+40	4.12e+41	2.93e+41
58577.25	1.01e+41	6.63e+40	4.12e+41	2.93e+41
58581.24	9.94e+40	6.80e+40	4.01e+41	2.80e+41
58581.63	9.88e+40	6.78e+40	4.01e+41	2.82e+41
58586.64	9.70e+40	7.00e+40	3.93e+41	2.77e+41
58588.65	9.59e+40	7.03e+40	3.91e+41	2.85e+41
58592.72	9.28e+40	7.04e+40	3.87e+41	3.03e+41
58595.24	9.12e+40	7.06e+40	3.88e+41	3.23e+41
58597.69	8.88e+40	7.00e+40	3.85e+41	3.45e+41
58601.67	8.63e+40	6.99e+40	3.88e+41	3.97e+41
58607.68	8.30e+40	7.00e+40	4.03e+41	4.83e+41
58821.45	2.65e+40	2.27e+40	1.39e+43	4.53e+43
58841.48	2.54e+40	2.18e+40	1.15e+43	5.13e+43
58862.85	2.19e+40	1.87e+40	4.24e+40	1.49e+41

#KEY
# Lobs = integrate observed fluxes with no BB fit
# L+BB = observed flux + BB fit extrapolation
# See logL-obs_SN2018imj_gcro.txt and logL-bb_SN2018imj_gcro.txt for simple LC files
# Methodology:
# filters used:gcro
# redshift used:0.013159
# extinction used:0.2023
# Flux and wavelength converted to rest-frame
# BB fit below 1A suppressed by factor (lamda/1)^0
