# ph	Lobs	err	L+BB	err	

59333.39	2.64e+42	5.61e+41	6.87e+42	2.58e+42
59333.40	2.64e+42	5.61e+41	6.87e+42	2.58e+42
59333.41	2.64e+42	5.61e+41	6.87e+42	2.58e+42
59335.18	2.59e+42	5.54e+41	7.08e+42	3.12e+42
59335.33	2.59e+42	5.54e+41	7.07e+42	3.14e+42
59335.34	2.59e+42	5.54e+41	7.07e+42	3.14e+42
59335.36	2.59e+42	5.54e+41	7.07e+42	3.14e+42
59335.36	2.58e+42	5.54e+41	7.04e+42	3.03e+42
59336.16	2.56e+42	5.51e+41	7.12e+42	3.21e+42
59336.18	2.56e+42	5.51e+41	7.12e+42	3.21e+42
59337.34	2.55e+42	5.50e+41	6.92e+42	2.88e+42
59337.36	2.55e+42	5.47e+41	6.91e+42	2.88e+42
59337.37	2.55e+42	5.47e+41	6.91e+42	2.88e+42
59338.01	2.54e+42	5.47e+41	7.04e+42	3.07e+42
59338.53	2.53e+42	5.46e+41	7.03e+42	3.12e+42
59338.54	2.53e+42	5.46e+41	7.03e+42	3.12e+42
59339.89	2.51e+42	5.43e+41	6.82e+42	2.86e+42
59341.77	2.46e+42	5.34e+41	6.87e+42	3.04e+42
59341.83	2.46e+42	5.34e+41	6.87e+42	3.04e+42
59343.26	2.41e+42	5.22e+41	6.64e+42	2.87e+42
59343.31	2.41e+42	5.22e+41	6.64e+42	2.87e+42
59343.31	2.41e+42	5.22e+41	6.64e+42	2.87e+42
59343.32	2.41e+42	5.22e+41	6.64e+42	2.87e+42
59343.34	2.41e+42	5.22e+41	6.64e+42	2.87e+42
59344.37	2.38e+42	5.10e+41	6.60e+42	2.97e+42
59345.33	2.34e+42	4.98e+41	6.56e+42	3.11e+42
59345.33	2.34e+42	4.98e+41	6.56e+42	3.11e+42
59345.34	2.34e+42	4.98e+41	6.56e+42	3.11e+42
59345.35	2.34e+42	4.98e+41	6.56e+42	3.11e+42
59346.02	2.30e+42	4.87e+41	6.53e+42	3.27e+42
59347.03	2.24e+42	4.69e+41	6.44e+42	3.41e+42
59347.32	2.23e+42	4.65e+41	6.41e+42	3.48e+42
59347.33	2.23e+42	4.65e+41	6.41e+42	3.48e+42
59347.33	2.23e+42	4.65e+41	6.41e+42	3.48e+42
59347.35	2.22e+42	4.65e+41	6.38e+42	3.38e+42
59348.90	2.11e+42	4.38e+41	6.19e+42	3.53e+42
59349.27	2.08e+42	4.32e+41	6.13e+42	3.53e+42
59349.27	2.08e+42	4.32e+41	6.13e+42	3.53e+42
59349.29	2.08e+42	4.32e+41	6.13e+42	3.53e+42
59349.31	2.08e+42	4.32e+41	6.13e+42	3.53e+42
59350.25	2.01e+42	4.16e+41	5.97e+42	3.51e+42
59351.29	1.92e+42	3.98e+41	5.71e+42	3.38e+42
59351.31	1.92e+42	3.98e+41	5.71e+42	3.38e+42
59351.32	1.92e+42	3.98e+41	5.71e+42	3.38e+42
59351.33	1.92e+42	3.98e+41	5.71e+42	3.38e+42
59352.83	1.80e+42	3.74e+41	5.32e+42	3.13e+42
59353.24	1.76e+42	3.67e+41	5.41e+42	3.40e+42
59353.25	1.76e+42	3.67e+41	5.41e+42	3.40e+42
59353.26	1.76e+42	3.67e+41	5.41e+42	3.40e+42
59353.26	1.76e+42	3.67e+41	5.41e+42	3.40e+42
59353.26	1.76e+42	3.67e+41	5.41e+42	3.40e+42
59353.27	1.76e+42	3.67e+41	5.41e+42	3.40e+42
59353.28	1.76e+42	3.67e+41	5.41e+42	3.40e+42
59353.62	1.73e+42	3.63e+41	5.11e+42	3.03e+42
59355.90	1.52e+42	3.29e+41	4.52e+42	2.60e+42
59355.97	1.51e+42	3.27e+41	4.51e+42	2.65e+42
59357.31	1.40e+42	3.07e+41	3.99e+42	2.19e+42
59357.31	1.40e+42	3.07e+41	3.99e+42	2.19e+42
59357.31	1.40e+42	3.07e+41	3.99e+42	2.19e+42
59357.33	1.40e+42	3.07e+41	4.00e+42	2.21e+42
59357.33	1.40e+42	3.07e+41	4.00e+42	2.21e+42
59357.35	1.40e+42	3.07e+41	3.98e+42	2.22e+42
59358.06	1.34e+42	2.97e+41	3.97e+42	2.38e+42
59358.23	1.33e+42	2.94e+41	3.92e+42	2.38e+42
59359.29	1.25e+42	2.79e+41	3.42e+42	1.93e+42
59359.31	1.25e+42	2.79e+41	3.42e+42	1.93e+42
